Select,Server,Parameter,Description,Timestamp,Value,Validated
x,CALIBR8,Property.Total Moisture,,2020-06-21 15:06:23.035512,19.3,True
x,CALIBR8,Property.Total Moisture,,2020-06-21 15:06:23.035512,2,True
x,CALIBR8,Property.Nitrogen,,2020-06-21 15:06:23.035512,29.7,False
x,CALIBR8,Property.Grindability ( HGI ),,2020-06-21 15:06:23.035512,18.0,False
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Initial Deformation,,2020-06-21 15:06:23.707513,1190,True
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Hemispherical Deformation,,2020-06-21 15:06:23.707513,1210,True
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Flow,,2020-06-21 15:06:23.707513,1220,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Initial Deformation,,2020-06-21 15:06:24.468517,1260,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Hemispherical Deformation,,2020-06-21 15:06:24.468517,1280,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Flow,,2020-06-21 15:06:24.468517,1290,True
x,CALIBR8,Proximate Analysis.Moisture,,2020-06-21 15:06:32.239542,18.0,True
x,CALIBR8,Proximate Analysis.Ash,,2020-06-21 15:06:32.239542,2.3,True
x,CALIBR8,Proximate Analysis.Volatile Matter,,2020-06-21 15:06:32.239542,35.0,True
x,CALIBR8,Proximate Analysis.Fixed Carbon,,2020-06-21 15:06:32.239542,33.3,True
x,CALIBR8,Proximate Analysis.Total Sulfur,,2020-06-21 15:06:32.239542,0.13,True
x,CALIBR8,Proximate Analysis.Fuel Ratio,,2020-06-21 15:06:32.239542,0.95,True
x,CALIBR8,Actual Analysis Result.Total Moisture (AR),,2020-06-21 15:06:41.259335,29.7,True
x,CALIBR8,Actual Analysis Result.lnherent Moisture (ADB),,2020-06-21 15:06:41.259335,18.0,True
x,CALIBR8,Actual Analysis Result.Gross Calorific Value (AR),,2020-06-21 15:06:41.259335,4760,True
x,CALIBR8,Actual Analysis Result.Gross Calorific Value (ADB),,2020-06-21 15:06:41.259335,5552,True
x,CALIBR8,Actual Analysis Result.Ash (AR),,2020-06-21 15:06:41.259335,2.0,True
x,CALIBR8,Actual Analysis Result.Ash (ADB),,2020-06-21 15:06:41.259335,2.3,True
x,CALIBR8,Actual Analysis Result.TotalSulphur (AR),,2020-06-21 15:06:41.259335,0.13,True
x,CALIBR8,Actual Analysis Result.Total Sulphur (ADB),,2020-06-21 15:06:41.259335,0.15,True
x,CALIBR8,Actual Analysis Result.This Certificate is supplementary to our Certificate of Sampling and,,2020-06-21 15:06:41.259335,13564,False
x,CALIBR8,Ultimate Analysis.Carbon,,2020-06-21 15:06:46.262355,74.2,True
x,CALIBR8,Ultimate Analysis.Hydrogen,,2020-06-21 15:06:46.262355,5.12,True
x,CALIBR8,Ultimate Analysis.Nitrogen,,2020-06-21 15:06:46.262355,1.0,True
x,CALIBR8,Ultimate Analysis.Sulfur,,2020-06-21 15:06:46.262355,0.19,True
x,CALIBR8,Ultimate Analysis.Oxygen,,2020-06-21 15:06:46.262355,19.49,True
x,CALIBR8,Ultimate Analysis.Phosphorus,,2020-06-21 15:06:46.262355,0.003,True
x,CALIBR8,Ultimate Analysis.Chlorine,,2020-06-21 15:06:46.262355,0.01,True
x,CALIBR8,Ultimate Analysis.Sodium,,2020-06-21 15:06:46.262355,0.004,True
x,CALIBR8,Ash Analysis.SIO2,,2020-06-21 15:06:47.304356,36.64,True
x,CALIBR8,Ash Analysis.AlO3,,2020-06-21 15:06:47.304356,13.7,True
x,CALIBR8,Ash Analysis.Fe2O3,,2020-06-21 15:06:47.304356,16.05,True
x,CALIBR8,Ash Analysis.TiO2,,2020-06-21 15:06:47.304356,0.77,True
x,CALIBR8,Ash Analysis.CaO,,2020-06-21 15:06:47.304356,15.86,True
x,CALIBR8,Ash Analysis.MgO,,2020-06-21 15:06:47.304356,7.37,True
x,CALIBR8,"Ash Analysis.K2,0",,2020-06-21 15:06:47.304356,0.96,False
x,CALIBR8,Ash Analysis.Na2O,,2020-06-21 15:06:47.304356,0.45,True
x,CALIBR8,Ash Analysis.P2O5,,2020-06-21 15:06:47.304356,0.31,True
x,CALIBR8,"Ash Analysis.Mn30,",,2020-06-21 15:06:47.304356,0.24,False
x,CALIBR8,Ash Analysis.SO3,,2020-06-21 15:06:47.304356,7.21,True
x,CALIBR8,Ash Analysis.Undetermined,,2020-06-21 15:06:47.304356,0.44,True
x,CALIBR8,Size Distribution.0 x 50 mm,,2020-06-21 15:06:48.177368,95.6,True
x,CALIBR8,Size Distribution.0 x 3 mm,,2020-06-21 15:06:48.177368,19.3,True
x,CALIBR8,Size Distribution.0 x 2 mm,,2020-06-21 15:06:48.177368,16.5,True
x,CALIBR8,Size Distribution.0 x 0.5 mm,,2020-06-21 15:06:48.177368,6.3,True
