Select,Server,Parameter,Description,Timestamp,Value,Validated
x,CALIBR8,Property.Total Moisture,,2020-06-21 16:36:56.250319,22.4,True
x,CALIBR8,Property.Total Moisture,,2020-06-21 16:36:56.250319,19.4,True
x,CALIBR8,Property.Total Moisture,,2020-06-21 16:36:56.250319,2,True
x,CALIBR8,Property.Nitrogen,,2020-06-21 16:36:56.250319,29.8,False
x,CALIBR8,Property.Grindability ( HGI),,2020-06-21 16:36:56.250319,18.0,False
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Initial Deformation,,2020-06-21 16:36:57.512440,1180,True
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Hemispherical Deformation,,2020-06-21 16:36:57.512440,1200,True
x,CALIBR8,ASH FUSION TEMPERATURE (Reducing Atmosphere).Flow,,2020-06-21 16:36:57.512440,1210,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Initial Deformation,,2020-06-21 16:36:58.458001,1240,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Hemispherical Deformation,,2020-06-21 16:36:58.458001,1260,True
x,CALIBR8,ASH FUSION TEMPERATURE (Oxidizing Atmosphere).Flow,,2020-06-21 16:36:58.458001,1270,True
x,CALIBR8,Proximate Analysis.Moisture,,2020-06-21 16:37:03.285505,18.0,True
x,CALIBR8,Proximate Analysis.Moisture,,2020-06-21 16:37:03.285505,2.3,True
x,CALIBR8,Proximate Analysis.Ash,,2020-06-21 16:37:03.285505,35.4,True
x,CALIBR8,Proximate Analysis.Volatile Matter,,2020-06-21 16:37:03.285505,33.1,True
x,CALIBR8,Proximate Analysis.Fixed Carbon,,2020-06-21 16:37:03.285505,0.11,True
x,CALIBR8,Proximate Analysis.Fuel Ratio,,2020-06-21 16:37:03.285505,0.94,True
